record,gold,det,tp,fp,fn,gold_bpm,det_bpm,bpm_err
1,6,8,6,2,0,45.59270516717325,46.0,0.40729483282675005
2,9,12,9,3,0,65.57377049180327,69.0,3.4262295081967267
3,9,12,9,3,0,66.81514476614699,69.0,2.184855233853014
4,9,12,9,3,0,61.47540983606557,62.0,0.5245901639344268
5,7,19,7,12,0,58.53658536585366,117.0,58.46341463414634
6,7,9,7,2,0,50.63291139240506,50.0,0.6329113924050631
7,8,16,8,8,0,59.7609561752988,115.0,55.2390438247012
8,10,13,10,3,0,71.09004739336493,72.0,0.9099526066350734
9,9,13,9,4,0,70.75471698113208,83.0,12.245283018867923
10,8,11,8,3,0,61.855670103092784,65.0,3.144329896907216
11,8,11,8,3,0,60.36217303822938,60.0,0.3621730382293791
12,7,15,7,8,0,52.173913043478265,96.0,43.826086956521735
13,7,11,7,4,0,58.8235294117647,70.0,11.176470588235297
14,12,15,12,3,0,83.56545961002786,85.0,1.4345403899721418
15,8,11,7,4,1,64.51612903225806,63.0,1.516129032258064
16,10,13,10,3,0,73.17073170731707,77.0,3.829268292682926
17,10,15,10,5,0,72.28915662650603,75.0,2.7108433734939723
18,11,14,11,3,0,79.36507936507937,79.0,0.36507936507936734
19,8,12,8,4,0,60.851926977687626,76.0,15.148073022312374
20,8,12,8,4,0,64.93506493506493,76.0,11.06493506493507
21,10,13,10,3,0,72.81553398058253,76.0,3.1844660194174708
22,11,13,11,2,0,75.94936708860759,76.0,0.05063291139241244
23,8,11,8,3,0,60.0,60.0,0.0
24,7,9,7,2,0,50.76142131979696,50.0,0.761421319796959
25,7,14,7,7,0,60.0,114.0,54.0
26,8,12,8,4,0,63.29113924050633,84.0,20.708860759493668
27,7,10,7,3,0,54.347826086956516,57.0,2.652173913043484
28,8,11,8,3,0,59.05511811023622,62.0,2.944881889763778
29,9,11,9,2,0,65.14657980456026,64.0,1.146579804560261
30,7,12,7,5,0,50.33557046979866,96.0,45.66442953020134
31,9,12,9,3,0,64.79481641468682,66.0,1.2051835853131792
32,9,11,9,2,0,63.29113924050633,62.0,1.2911392405063324
33,8,11,8,3,0,61.224489795918366,61.0,0.22448979591836604
34,8,12,8,4,0,60.0,84.0,24.0
35,20,18,16,2,4,140.8450704225352,117.0,23.8450704225352
36,8,12,8,4,0,65.50218340611353,69.0,3.497816593886469
37,10,13,10,3,0,69.28406466512702,73.0,3.715935334872981
38,15,16,13,3,2,112.78195488721803,108.0,4.781954887218035
39,7,10,7,3,0,53.09734513274337,63.0,9.90265486725663
40,9,12,9,3,0,64.23982869379016,70.0,5.760171306209841
41,6,9,6,3,0,48.939641109298535,52.0,3.0603588907014654
42,8,10,8,2,0,56.81818181818181,56.0,0.818181818181813
43,8,11,8,3,0,60.483870967741936,62.0,1.516129032258064
44,9,12,9,3,0,66.66666666666667,71.0,4.333333333333329
45,8,11,8,3,0,60.120240480961925,71.0,10.879759519038075
46,8,12,8,4,0,62.761506276150634,86.0,23.238493723849366
47,6,9,6,3,0,47.46835443037975,47.0,0.46835443037974755
48,7,11,7,4,0,58.30903790087464,69.0,10.690962099125358
49,7,14,7,7,0,54.74452554744525,113.0,58.25547445255475
50,9,12,9,3,0,70.4225352112676,70.0,0.42253521126760063
51,8,11,8,3,0,69.44444444444444,66.0,3.444444444444443
52,9,13,8,5,1,65.14657980456026,99.0,33.85342019543974
53,9,17,9,8,0,62.89308176100629,118.0,55.10691823899371
54,7,9,7,2,0,54.15162454873646,54.0,0.15162454873645714
55,8,11,8,3,0,61.98347107438017,62.0,0.01652892561983066
56,10,13,10,3,0,73.34963325183375,74.0,0.650366748166249
57,12,15,11,4,1,80.64516129032258,85.0,4.3548387096774235
58,9,12,9,3,0,62.30529595015577,62.0,0.3052959501557666
59,6,10,6,4,0,53.85996409335726,55.0,1.140035906642737
60,8,10,8,2,0,59.171597633136095,55.0,4.171597633136095
61,8,11,8,3,0,62.5,64.0,1.5
62,9,13,9,4,0,69.44444444444444,70.0,0.5555555555555571
63,10,13,10,3,0,71.77033492822967,74.0,2.2296650717703272
64,9,14,9,5,0,66.3716814159292,102.0,35.6283185840708
65,12,15,12,3,0,86.20689655172414,87.0,0.7931034482758577
66,6,13,6,7,0,48.54368932038835,104.0,55.45631067961165
67,7,12,7,5,0,56.92599620493358,107.0,50.07400379506642
68,9,12,8,4,1,65.00541711809318,73.0,7.9945828819068225
69,11,14,10,4,1,78.53403141361257,78.0,0.534031413612567
70,13,15,13,2,0,89.82035928143712,90.0,0.17964071856287944
71,8,10,8,2,0,56.17977528089887,61.0,4.820224719101127
72,8,11,8,3,0,60.0,61.0,1.0
73,8,11,8,3,0,58.8235294117647,58.0,0.823529411764703
74,9,13,9,4,0,59.820538384845456,74.0,14.179461615154544
75,9,12,9,3,0,62.17616580310881,62.0,0.17616580310880892
76,11,13,11,2,0,75.0,75.0,0.0
77,10,14,9,5,1,74.62686567164178,112.0,37.37313432835822
78,8,11,8,3,0,61.98347107438017,66.0,4.016528925619831
79,8,12,8,4,0,56.92599620493358,93.0,36.07400379506642
80,11,13,11,2,0,74.53416149068323,75.0,0.46583850931676807
81,11,13,11,2,0,78.63695937090432,79.0,0.36304062909567847
82,7,11,7,4,0,51.99306759098787,72.0,20.00693240901213
83,10,11,7,4,3,63.829787234042556,74.0,10.170212765957444
84,8,11,8,3,0,60.0,64.0,4.0
85,10,13,9,4,1,75.75757575757575,78.0,2.2424242424242493
86,12,16,12,4,0,88.75739644970413,91.0,2.2426035502958683
87,12,15,11,4,1,88.23529411764706,92.0,3.764705882352942
88,12,15,12,3,0,94.6372239747634,110.0,15.362776025236599
89,10,13,9,4,1,70.92198581560284,76.0,5.078014184397162
90,8,11,8,3,0,59.7609561752988,60.0,0.23904382470119856
91,11,14,11,3,0,80.75370121130553,86.0,5.2462987886944745
92,14,16,13,3,1,98.6842105263158,98.0,0.6842105263157947
93,8,12,7,5,1,60.24096385542169,74.0,13.75903614457831
94,10,14,9,5,1,75.94936708860759,93.0,17.050632911392412
95,9,12,9,3,0,60.72874493927126,78.0,17.27125506072874
96,12,15,12,3,0,89.55223880597015,89.0,0.5522388059701484
97,8,11,8,3,0,60.60606060606061,61.0,0.3939393939393909
98,8,11,8,3,0,61.34969325153374,65.0,3.6503067484662566
99,12,14,12,2,0,83.33333333333334,85.0,1.6666666666666572
100,9,12,9,3,0,67.49156355455568,68.0,0.5084364454443175
101,11,14,11,3,0,84.98583569405099,87.0,2.0141643059490093
102,9,13,9,4,0,65.57377049180327,69.0,3.4262295081967267
103,14,17,7,10,7,93.16770186335404,106.0,12.83229813664596
104,9,12,9,3,0,65.00541711809318,65.0,0.005417118093177464
105,11,14,10,4,1,66.3716814159292,90.0,23.628318584070797
106,12,15,11,4,1,84.74576271186442,86.0,1.2542372881355845
107,8,11,8,3,0,60.851926977687626,64.0,3.1480730223123743
108,11,14,10,4,1,79.05138339920948,90.0,10.948616600790515
109,15,14,11,3,4,87.46355685131196,85.0,2.4635568513119637
110,13,11,9,2,4,89.95502248875562,114.0,24.044977511244383
111,8,12,8,4,0,59.880239520958085,72.0,12.119760479041915
112,14,16,11,5,3,104.16666666666667,102.0,2.1666666666666714
113,8,11,8,3,0,58.93909626719057,58.0,0.9390962671905712
114,13,15,13,2,0,90.9090909090909,91.0,0.09090909090909349
115,7,12,7,5,0,55.401662049861486,101.0,45.598337950138514
116,13,16,6,10,7,90.36144578313252,93.0,2.638554216867476
117,13,15,12,3,1,91.1854103343465,92.0,0.8145896656535001
118,8,12,8,4,0,65.78947368421052,76.0,10.21052631578948
119,8,11,8,3,0,60.72874493927126,63.0,2.271255060728741
120,8,11,8,3,0,58.252427184466015,59.0,0.7475728155339851
121,15,17,15,2,0,97.0873786407767,97.0,0.08737864077670565
122,8,11,8,3,0,59.171597633136095,69.0,9.828402366863905
123,9,11,9,2,0,66.29834254143647,65.0,1.2983425414364689
124,7,10,7,3,0,56.497175141242934,57.0,0.5028248587570658
125,7,9,7,2,0,50.041701417848216,51.0,0.9582985821517838
126,9,12,9,3,0,69.44444444444444,71.0,1.5555555555555571
127,4,8,4,4,0,40.053404539385845,55.0,14.946595460614155
128,7,10,7,3,0,53.144375553587246,55.0,1.8556244464127545
129,8,12,8,4,0,60.36217303822938,108.0,47.63782696177062
130,7,11,7,4,0,56.60377358490566,61.0,4.39622641509434
131,8,12,8,4,0,65.359477124183,75.0,9.640522875816998
132,8,11,8,3,0,51.369863013698634,68.0,16.630136986301366
133,7,9,7,2,0,50.63291139240506,54.5,3.867088607594937
134,6,11,6,5,0,50.0,94.0,44.0
135,9,12,9,3,0,67.72009029345372,69.0,1.2799097065462774
136,13,15,13,2,0,86.33093525179856,89.0,2.6690647482014356
137,9,17,9,8,0,64.37768240343347,115.0,50.62231759656653
138,8,11,7,4,1,60.851926977687626,63.0,2.1480730223123743
